"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-01 ~ 2026-06-30"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","대구광역시 군위군 부계면 창평리","7**","12m미만","29.25","월세","202606","30","800","50","2024","부흥로","202607~202806","갱신","-","800","55","단독다가구"
"2","서울특별시 용산구 후암동","1**","8m미만","52.50","전세","202606","30","18,900","0","1954","한강대로104라길","202609~202809","갱신","-","18,000","0","단독다가구"
"3","서울특별시 동작구 상도동","2*","8m미만","58.00","전세","202606","30","15,000","0","2003","상도로34가길","202606~202806","갱신","-","10,000","0","단독다가구"
"4","서울특별시 양천구 목동","7**","12m미만","75.26","전세","202606","30","12,800","0","1983","목동중앙남로","202606~202806","갱신","-","12,000","0","단독다가구"
"5","충청북도 청주시 흥덕구 오송읍 봉산리","1***","12m미만","24.36","월세","202606","30","300","42","2021","봉산2길","202607~202707","갱신","-","300","40","단독다가구"
"6","서울특별시 중랑구 면목동","6**","8m미만","43.17","월세","202606","30","10,500","6","1994","면목로38나길","202606~202806","갱신","-","10,500","0","단독다가구"
"7","경기도 용인시 수지구 죽전동","1***","12m미만","66.00","전세","202606","30","24,000","0","2012","죽전로293번길","202606~202806","갱신","-","21,000","0","단독다가구"
"8","서울특별시 마포구 동교동","1**","8m미만","18.00","월세","202606","30","1,000","50","","신촌로10길","202606~202706","갱신","-","1,000","50","단독다가구"
"9","경기도 고양시 덕양구 향동동","5**","12m미만","48.62","월세","202606","30","1,000","137","2021","향기4로","202607~202806","갱신","사용","1,000","130","단독다가구"
"10","울산광역시 울주군 범서읍 구영리","7**","25m미만","36.36","월세","202606","30","5,000","15","2012","점촌2길","202608~202708","갱신","-","5,000","15","단독다가구"
"11","경기도 안산시 상록구 사동","1***","8m미만","20.00","월세","202606","30","200","30","2002","서암로4길","202606~202706","갱신","-","200","30","단독다가구"
"12","서울특별시 노원구 상계동","4**","25m미만","82.77","월세","202606","30","10,000","35","1993","한글비석로52길","202606~202806","갱신","-","10,000","0","단독다가구"
"13","경기도 성남시 수정구 태평동","5***","25m미만","40.75","전세","202606","30","12,700","0","1987","태평로","202608~202808","갱신","-","12,600","0","단독다가구"
"14","경기도 파주시 동패동","1***","12m미만","78.00","전세","202606","30","18,400","0","2019","교하로307번길","202609~202803","갱신","사용","17,600","0","단독다가구"
"15","경기도 파주시 동패동","1***","12m미만","67.72","전세","202606","30","16,100","0","2020","교하로329번길","202609~202808","갱신","사용","15,400","0","단독다가구"
"16","대구광역시 수성구 중동","2*","8m미만","37.64","월세","202606","30","1,000","51","2021","수성로52안길","202607~202706","갱신","-","500","65","단독다가구"
