"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","인천광역시 서해구 가좌동","269-10","0269","0010","평산빌라(다동)","28.8900","17.8790","202605","31","5,000","3","개인","개인","1993","신진말로28번길 60","-","직거래","-","26.06.24"
"2","인천광역시 서해구 신현동","131-18","0131","0018","삼부타운E동","59.8800","34.7500","202605","31","7,500","-1","개인","법인","1995","새오개로54번안길 22","-","직거래","-","26.06.01"
"3","인천광역시 남동구 구월동","1203-13","1203","0013","미래아트빌(1동)","59.2500","28.1500","202605","31","17,800","3","개인","개인","2002","독점로 3","-","중개거래","인천 미추홀구","-"
"4","서울특별시 광진구 구의동","226-21","0226","0021","해피하우스","29.2800","20.6500","202605","31","45,000","3","개인","개인","2018","구의로11길 3","20260622","중개거래","서울 광진구","-"
"5","서울특별시 구로구 개봉동","264-11","0264","0011","LG노블리움","43.3400","21.4000","202605","31","15,000","5","개인","개인","2012","개봉로14길 1","-","중개거래","서울 구로구","-"
"6","서울특별시 송파구 문정동","109-7","0109","0007","그랑밸리","46.0600","26.7100","202605","31","59,000","6","개인","개인","2021","새말로19길 11","-","중개거래","서울 송파구","-"
"7","서울특별시 용산구 용문동","38-173","0038","0173","서현하우스","12.1500","7.8000","202605","31","28,000","3","개인","개인","2012","효창원로37나길 5","-","중개거래","서울 용산구","-"
"8","경기도 수원시 권선구 세류동","469-3","0469","0003","리치먼드","47.6800","38.3000","202605","31","30,600","3","개인","법인","2024","세권로62번길 14","-","직거래","-","26.06.19"
"9","부산광역시 금정구 금성동","520-10","0520","0010","금성빌라","58.6000","81.3333","202605","31","9,800","2","개인","개인","2010","중리2길 29","-","직거래","-","-"
"10","서울특별시 동작구 사당동","272-45","0272","0045","아정빌리지(272-45)","41.1300","30.0500","202605","31","70,100","2","개인","개인","2009","사당로16다길 64","-","중개거래","서울 동작구","-"
"11","경기도 광주시 목현동","66-6","0066","0006","동진프라임빌","66.4450","72.6250","202605","31","16,500","1","개인","개인","2011","새오개길 6-60","-","중개거래","경기 광주시","26.06.17"
"12","서울특별시 노원구 공릉동","513-6","0513","0006","로얄팰리스","58.0400","30.0730","202605","31","39,500","4","개인","개인","2022","동일로184길 13-8","-","중개거래","서울 노원구, 서울 중랑구","-"
"13","서울특별시 강북구 수유동","472-245","0472","0245","NH파크빌","27.7900","15.9100","202605","31","26,500","4","개인","개인","2021","삼양로81길 6-6","-","직거래","-","26.06.22"
"14","인천광역시 계양구 효성동","232-33","0232","0033","시대연립","53.8800","64.0000","202605","31","8,000","1","개인","개인","1979","안남로519번길 15","-","중개거래","인천 계양구","26.06.19"
"15","서울특별시 마포구 망원동","412-55","0412","0055","하나빌라","62.6200","40.8500","202605","31","35,000","3","개인","개인","1996","월드컵로23길 56","-","중개거래","서울 마포구","-"
"16","서울특별시 송파구 마천동","276","0276","0000","(276-0)","31.6600","34.8100","202605","31","104,500","-1","개인","개인","1987","감이남로 3","-","중개거래","서울 송파구","-"
"17","서울특별시 용산구 동빙고동","190","0190","0000","(190-0)","29.4800","26.5000","202605","31","139,000","-1","개인","개인","1987","서빙고로67길 22","-","직거래","-","-"
"18","서울특별시 강서구 화곡동","452-4","0452","0004","궁전아트빌라","76.1000","33.7300","202605","31","24,800","3","개인","개인","1996","곰달래로31마길 10","-","중개거래","서울 강서구","-"
"19","경기도 안산시 상록구 부곡동","686-18","0686","0018","예진아트빌2차","77.3800","37.1378","202605","31","14,950","3","개인","개인","2012","성호로12안길 9-1","-","중개거래","경기 안산시 상록구","26.06.19"
"20","서울특별시 용산구 효창동","127-16","0127","0016","황금빌라","151.6700","97.7800","202605","31","170,000","3","개인","개인","1992","효창원로69가길 25","-","중개거래","서울 용산구","-"
"21","서울특별시 양천구 목동","760-19","0760","0019","리치하임","26.5200","17.6390","202605","31","43,000","2","개인","개인","2014","목동중앙로3길 30-25","-","중개거래","서울 양천구","-"
"22","서울특별시 금천구 독산동","957-1","0957","0001","메트로타운A동B동C동","40.8900","27.9300","202605","31","32,500","3","개인","개인","2017","남부순환로120길 35","-","중개거래","서울 금천구","-"
"23","경기도 수원시 장안구 영화동","387-18","0387","0018","중앙스윗홈(B동)","71.6100","335.7000","202605","31","31,000","5","개인","개인","2016","수성로 318","-","중개거래","경기 수원시 장안구","-"
"24","부산광역시 사상구 감전동","121-104","0121","0104","감전타워","76.9200","38.7400","202605","31","9,000","5","개인","개인","2003","새벽로168번길 11-18","-","중개거래","부산 연제구","-"
"25","인천광역시 미추홀구 주안동","26-16","0026","0016","우성빌라(26-16)","36.5100","29.4000","202605","31","9,000","2","개인","개인","1989","석정로376번길 14-30","-","중개거래","인천 미추홀구","26.06.18"
"26","인천광역시 남동구 구월동","1287-8","1287","0008","문일빌라","43.8900","40.8667","202605","31","8,600","3","개인","개인","1988","호구포로740번길 17-5","-","중개거래","인천 부평구","26.06.15"
"27","경기도 파주시 야당동","188-1","0188","0001","한마루카운티105동106동","57.4550","65.8680","202605","31","17,500","2","개인","개인","2015","하우고개길 161-20","-","중개거래","경기 파주시","26.06.16"
"28","제주특별자치도 제주시 아라일동","6112-8","6112","0008","스카이캐슬10차","42.2800","30.8700","202605","31","27,900","3","개인","개인","2026","인다8길 40","-","직거래","-","-"
"29","경기도 부천시 소사구 송내동","600-23","0600","0023","명품위너스빌","61.8700","36.1400","202605","31","26,000","2","개인","개인","2015","심곡로46번길 34-5","-","중개거래","경기 부천시 원미구","-"
