"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-05-01 ~ 2026-05-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","서울특별시 은평구 응암동","697-21","0697","0021","담터캐슬","전세","26.7500","202605","31","17,800","0","3","2018","가좌로7다길 13-11","202607~202707","갱신","-","17,800","0","연립다세대"
"2","서울특별시 은평구 응암동","697-21","0697","0021","담터캐슬","전세","26.7500","202605","31","17,800","0","3","2018","가좌로7다길 13-11","202607~202807","갱신","-","17,800","0","연립다세대"
"3","부산광역시 남구 용호동","529-5","0529","0005","사호(529-5)","월세","39.6700","202605","31","1,700","25","1","1974","동명로164번길 102","202606~202805","갱신","-","1,700","20","연립다세대"
"4","경기도 안산시 단원구 고잔동","578-1","0578","0001","신원(578-1)","전세","39.2400","202605","31","9,500","0","2","1988","큰우물길 26","202605~202805","갱신","-","9,500","0","연립다세대"
"5","서울특별시 서대문구 홍제동","158-19","0158","0019","미도아트맨션","전세","84.8500","202605","31","25,000","0","3","1994","통일로35길 25","202605~202805","갱신","-","5,000","0","연립다세대"
"6","경기도 수원시 권선구 권선동","1056-9","1056","0009","GL하임015","전세","27.5400","202605","31","12,500","0","5","2018","경수대로338번길 31","202607~202806","갱신","-","12,500","0","연립다세대"
"7","서울특별시 송파구 삼전동","41-6","0041","0006","동화포레스트블루","월세","47.7400","202605","31","3,000","165","4","2024","백제고분로22길 31-17","202606~202805","갱신","-","3,000","160","연립다세대"
"8","서울특별시 송파구 방이동","123-7","0123","0007","잎새빌리지","전세","48.9700","202605","31","28,300","0","2","2010","백제고분로48길 42-10","202607~202807","갱신","-","27,300","0","연립다세대"
"9","경기도 의왕시 포일동","87-14","0087","0014","세종빌라","전세","32.1300","202605","31","14,000","0","3","2014","양지편로 25","202607~202807","갱신","-","13,500","0","연립다세대"
"10","서울특별시 송파구 오금동","46-4","0046","0004","오금에스하임","월세","46.7000","202605","31","3,309","43","2","2021","중대로29길 21","202606~202805","갱신","-","3,309","43","연립다세대"
"11","서울특별시 강동구 고덕동","614","0614","0000","로아캐슬","전세","69.5100","202605","31","45,000","0","5","2023","아리수로 220","202606~202805","갱신","-","45,000","0","연립다세대"
"12","서울특별시 종로구 명륜2가","157","0157","0000","선흥그린빌리치","월세","130.0800","202605","31","50,000","100","4","1998","창경궁로33길 21","202605~202805","갱신","-","40,000","70","연립다세대"
"13","서울특별시 송파구 가락동","74-11","0074","0011","(74-11)","월세","67.6600","202605","31","38,370","7","4","2007","송이로20길 4-22","202606~202806","갱신","-","38,370","0","연립다세대"
"14","서울특별시 서대문구 홍은동","395-2","0395","0002","예영하우스","월세","36.2100","202605","31","19,000","20","4","2019","가좌로 66-6","202605~202805","갱신","-","23,100","0","연립다세대"
"15","서울특별시 중랑구 면목동","1195-1","1195","0001","성진듀얼팰리스","월세","45.3250","202605","31","29,400","17","9","2016","겸재로44길 22","202607~202807","갱신","-","29,400","11","연립다세대"
"16","서울특별시 은평구 불광동","329-7","0329","0007","행복공간","전세","41.9000","202605","31","24,000","0","2","2013","통일로72길 30-10","202605~202805","갱신","-","23,500","0","연립다세대"
"17","서울특별시 광진구 중곡동","97-8","0097","0008","한울터","월세","38.6800","202605","31","19,000","16","2","2011","자양로51길 56-3","202606~202808","갱신","-","19,000","16","연립다세대"
